DGRP,time,event,censor,tray
DGRP-820,6.2125,0,1,2
DGRP-820,7.034722222,0,1,2
DGRP-287,0,0,1,2
DGRP-287,0.225694444,1,1,2
DGRP-287,1.006944444,0,1,2
DGRP-287,1.218055556,0,1,2
DGRP-287,2.0375,0,1,2
DGRP-287,2.233333333,0,1,2
DGRP-287,3.014583333,2,1,2
DGRP-287,3.231944444,2,1,2
DGRP-287,4.013888889,69,1,2
DGRP-287,4.213888889,12,1,2
DGRP-287,5.015277778,34,1,2
DGRP-287,5.208333333,0,1,2
DGRP-287,6.033333333,0,1,2
DGRP-287,6.2125,0,1,2
DGRP-287,7.034722222,0,1,2
DGRP-304,0,0,1,2
DGRP-304,0.225694444,1,1,2
DGRP-304,1.006944444,1,1,2
DGRP-304,1.218055556,0,1,2
DGRP-304,2.0375,7,1,2
DGRP-304,2.233333333,0,1,2
DGRP-304,3.014583333,13,1,2
DGRP-304,3.231944444,18,1,2
DGRP-304,4.013888889,86,1,2
DGRP-304,4.213888889,5,1,2
DGRP-304,5.015277778,14,1,2
DGRP-304,5.208333333,1,1,2
DGRP-304,6.033333333,0,1,2
DGRP-304,6.2125,0,1,2
DGRP-304,7.034722222,0,1,2
DGRP-91,0,2,0,2
DGRP-91,0.225694444,0,0,2
DGRP-91,1.006944444,0,0,2
DGRP-91,1.218055556,0,0,2
DGRP-91,2.0375,0,0,2
DGRP-91,2.233333333,0,0,2
DGRP-91,3.014583333,0,0,2
DGRP-91,3.231944444,0,0,2
DGRP-91,4.013888889,0,0,2
DGRP-91,4.213888889,0,0,2
DGRP-91,5.015277778,0,0,2
DGRP-91,5.208333333,0,0,2
DGRP-91,6.033333333,0,0,2
DGRP-91,6.2125,0,0,2
DGRP-91,7.034722222,0,0,2
DGRP-379,0,0,0,2
DGRP-379,0.225694444,0,0,2
DGRP-379,1.006944444,0,0,2
DGRP-379,1.218055556,0,0,2
DGRP-379,2.0375,0,0,2
DGRP-379,2.233333333,0,0,2
DGRP-379,3.014583333,0,0,2
DGRP-379,3.231944444,0,0,2
DGRP-379,4.013888889,0,0,2
DGRP-379,4.213888889,0,0,2
DGRP-379,5.015277778,0,0,2
DGRP-379,5.208333333,0,0,2
DGRP-379,6.033333333,0,0,2
DGRP-379,6.2125,0,0,2
DGRP-379,7.034722222,0,0,2
DGRP-362,0,2,0,2
DGRP-362,0.225694444,0,0,2
DGRP-362,1.006944444,0,0,2
DGRP-362,1.218055556,0,0,2
DGRP-362,2.0375,0,0,2
DGRP-362,2.233333333,0,0,2
DGRP-362,3.014583333,0,0,2
DGRP-362,3.231944444,0,0,2
DGRP-362,4.013888889,0,0,2
DGRP-362,4.213888889,0,0,2
DGRP-362,5.015277778,0,0,2
DGRP-362,5.208333333,0,0,2
DGRP-362,6.033333333,0,0,2
DGRP-362,6.2125,0,0,2
DGRP-362,7.034722222,0,0,2
DGRP-732,0,0,0,2
DGRP-732,0.225694444,0,0,2
DGRP-732,1.006944444,0,0,2
DGRP-732,1.218055556,0,0,2
DGRP-732,2.0375,0,0,2
DGRP-732,2.233333333,0,0,2
DGRP-732,3.014583333,0,0,2
DGRP-732,3.231944444,0,0,2
DGRP-732,4.013888889,0,0,2
DGRP-732,4.213888889,0,0,2
DGRP-732,5.015277778,0,0,2
DGRP-732,5.208333333,0,0,2
DGRP-732,6.033333333,0,0,2
